detail_link,thumbnail,title,field,institution,satisfaction,language
https://www.kmooc.kr/view/course/detail/14191,https://lms.kmooc.kr/pluginfile.php/3302000/course/overviewfiles/%EB%94%A5%EB%9F%AC%EB%8B%9D%EC%8D%B8%EB%84%A4%EC%9D%BC_960574.jpg,딥러닝심화: CNN부터 GAN까지,공학 (컴퓨터 · 통신),한국연구재단 산업교육센터,0.0,한국어(ko)
https://www.kmooc.kr/view/course/detail/14190,https://lms.kmooc.kr/pluginfile.php/3301536/course/overviewfiles/%EC%9C%A0%EB%8B%88%ED%8B%B0%EC%8D%B8%EB%84%A4%EC%9D%BC_960574.jpg,유니티로 배우는 로봇 디지털 트윈,공학 (컴퓨터 · 통신),한국연구재단 산업교육센터,0.0,한국어(ko)
https://www.kmooc.kr/view/course/detail/13856,https://lms.kmooc.kr/pluginfile.php/3253188/course/overviewfiles/24-2_%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%A7%88%EC%9D%B4%EB%8B%9D.png,데이터 마이닝,공학 (컴퓨터 · 통신),서울대학교,4.2,한국어(ko)
https://www.kmooc.kr/view/course/detail/13822,https://lms.kmooc.kr/pluginfile.php/3249092/course/overviewfiles/24-2_%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5%EB%A7%8C%EB%93%A4%EA%B8%B0.png,인공지능 만들기,공학 (컴퓨터 · 통신),서울대학교,4.3,한국어(ko)
https://www.kmooc.kr/view/course/detail/13857,https://lms.kmooc.kr/pluginfile.php/3253214/course/overviewfiles/24-2_%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5%EC%9D%98%EA%B8%B0%EC%B4%88.png,인공지능의 기초,공학 (컴퓨터 · 통신),서울대학교,4.1,한국어(ko)
https://www.kmooc.kr/view/course/detail/14019,https://lms.kmooc.kr/pluginfile.php/3276352/course/overviewfiles/%EB%B7%B0%ED%8F%AC%EB%A6%AC%EC%95%84.png,Vuforia를 활용한 AR 콘텐츠 만들기,공학 (컴퓨터 · 통신),남서울대학교(매치업),4.3,한국어(ko)
https://www.kmooc.kr/view/course/detail/14133,https://lms.kmooc.kr/pluginfile.php/3293802/course/overviewfiles/%EC%9C%A0%EB%8B%88%ED%8B%B0_VR_%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%B0%8D_2024.png,유니티 VR 프로그래밍,공학 (컴퓨터 · 통신),남서울대학교(매치업),4.3,한국어(ko)
https://www.kmooc.kr/view/course/detail/14141,https://lms.kmooc.kr/pluginfile.php/3294531/course/overviewfiles/ML.png,유니티로 이해하는 인공지능과 기계학습 (feat. ML-Agent),공학 (컴퓨터 · 통신),남서울대학교(매치업),4.3,한국어(ko)
https://www.kmooc.kr/view/course/detail/14018,https://lms.kmooc.kr/pluginfile.php/3276280/course/overviewfiles/%EB%B9%84%EC%A3%BC%EC%96%BC.png,프로그래밍 문법에서 자유로워지는 유니티 비주얼 스크립팅,공학 (컴퓨터 · 통신),남서울대학교(매치업),4.4,한국어(ko)
https://www.kmooc.kr/view/course/detail/14083,https://lms.kmooc.kr/pluginfile.php/3284731/course/overviewfiles/%EA%B0%95%EC%A2%8C%EC%8D%B8%EB%84%A4%EC%9D%BC.PNG,설명 가능한 인공지능,공학 (컴퓨터 · 통신),순천향대학교,0.0,한국어(ko)
https://www.kmooc.kr/view/course/detail/14144,https://lms.kmooc.kr/pluginfile.php/3294706/course/overviewfiles/02.IIoT%EA%B8%B0%EB%B0%98_%EC%8D%B8%EB%84%A4%EC%9D%BC.jpg,IIoT 기반 데이터 수집 개발,공학 (컴퓨터 · 통신),건솔루션(주),4.4,한국어(ko)
https://www.kmooc.kr/view/course/detail/14145,https://lms.kmooc.kr/pluginfile.php/3294753/course/overviewfiles/03.%EA%B3%B5%EC%A0%95%EC%9E%90%EB%8F%99%ED%99%94_%EC%8D%B8%EB%84%A4%EC%9D%BC.jpg,공정 자동화를 위한 디지털 트윈의 이해,공학 (컴퓨터 · 통신),건솔루션(주),4.3,한국어(ko)
